Alcona,15.0,61.5,134,44,32.8,41,**,0,0,0,0,**,**
Alger,25.7,64.1,137,55,40.1,51,**,**,0,**,**,**,**
Allegan,21.0,51.1,"2,656",966,36.4,929,30,**,**,7,0.7,37,3.8
Alpena,23.5,71.6,535,218,40.7,216,**,0,0,0,0,**,**
Antrim,17.1,52.6,390,182,46.7,179,**,0,0,0,0,**,**
Arenac,16.9,58.2,226,153,67.7,151,**,**,0,**,**,**,**
Baraga,30.9,71.7,143,98,68.5,98,0,0,0,0,0,0,0
Barry,24.5,57.3,"1,241",357,28.8,345,**,**,**,**,**,12,3.4
Bay,32.1,75.6,"2,125","1,182",55.6,"1,134",36,**,**,12,1.0,48,4.1
Benzie,17.1,46.3,307,180,58.6,180,0,0,0,0,0,0,0
Berrien,26.5,72.2,"3,815","1,293",33.9,"1,245",22,**,**,26,2.0,48,3.7
Branch,27.8,65.3,"1,185",255,21.5,246,**,**,0,**,**,9,3.5
Calhoun,32.6,75.3,"3,338","1,067",32.0,"1,013",17,29,8,37,3.5,54,5.1
Cass,20.3,59.9,961,369,38.4,360,**,**,0,**,**,9,2.4
Charlevoix,19.8,54.4,487,188,38.6,186,**,**,0,**,**,**,**
Cheboygan,23.0,53.5,408,175,42.9,175,0,0,0,0,0,0,0
Chippewa,22.0,58.6,704,230,32.7,225,**,**,0,**,**,**,**
Clare,12.0,58.8,661,307,46.4,306,0,**,0,**,**,**,**
Clinton,22.1,52.8,"1,690",364,21.5,359,**,**,0,**,**,**,**
Crawford,10.5,55.6,224,70,31.3,69,0,**,0,**,**,**,**
Delta,32.4,68,728,341,46.8,323,11,7,0,7,2.1,18,5.3
Dickinson,36.4,71.7,533,180,33.8,180,0,0,0,0,0,0,0
Eaton,20.1,56.4,"2,305",610,26.5,585,11,14,0,14,2.3,25,4.1
Emmet,22.8,48.3,616,235,38.1,235,0,0,0,0,0,0,0
Genesee,19.9,68,"9,867","4,196",42.5,"4,090",56,**,**,50,1.2,106,2.5
Gladwin,12.0,49.5,499,215,43.1,213,**,**,0,**,**,**,**
Gogebic,46.4,76.7,237,115,48.5,108,**,**,0,**,**,7,6.1
Grand Traverse,14.8,43.5,"2,013",937,46.5,918,13,6,0,6,0.6,19,2.0
Gratiot,36.5,69.8,818,280,34.2,279,**,0,0,0,0,**,**
Hillsdale,34.5,63.2,"1,071",361,33.7,348,**,**,0,**,**,13,3.6
Houghton,50.5,75.5,749,471,62.9,461,0,**,**,10,2.1,10,2.1
Huron,28.9,68.9,590,217,36.8,213,**,0,**,**,**,**,**
Ingham,23.9,68.2,"6,440","2,693",41.8,"2,624",32,**,**,37,1.4,69,2.6
Ionia,33.2,63,"1,492",641,43.0,620,15,**,**,6,0.9,21,3.3
Iosco,17.7,65.6,493,224,45.4,215,**,**,**,**,**,9,4.0
Iron,43.3,72.1,186,79,42.5,78,**,0,0,0,0,**,**
Isabella,16.1,48.2,"1,337",453,33.9,447,**,**,0,**,**,6,1.3
Jackson,30.2,67.9,"3,412","2,192",64.2,"2,080",79,**,**,33,1.5,112,5.1
Kalamazoo,22.0,62.6,"6,234","2,082",33.4,"2,009",54,**,**,19,0.9,73,3.5
Kalkaska,11.2,49.3,367,101,27.5,101,0,0,0,0,0,0,0
Kent,23.1,59.2,"17,888","7,767",43.4,"7,283",371,100,13,113,1.5,484,6.2
Keweenaw,44.5,77.6,29,19,65.5,19,0,0,0,0,0,0,0
Lake,11.3,52.6,144,78,54.2,78,0,0,0,0,0,0,0
Lapeer,19.6,52.9,"1,672",647,38.7,629,**,0,**,**,**,18,2.8
Leelanau,16.0,46.5,313,164,52.4,157,**,**,0,**,**,7,4.3
Lenawee,30.9,67.2,"2,255",641,28.4,577,44,**,**,20,3.1,64,10.0
Livingston,11.4,39,"3,689",751,20.4,744,**,**,0,**,**,7,0.9
Luce,24.8,64.3,102,68,66.7,68,0,0,0,0,0,0,0
Mackinac,23.6,58.6,182,109,59.9,108,0,**,0,**,**,**,**
Macomb,9.1,59.1,"18,754","6,773",36.1,"6,690",60,**,**,23,0.3,83,1.2
Manistee,27.4,63.9,376,236,62.8,230,**,0,**,**,**,6,2.5
Marquette,29.0,69.4,"1,241",381,30.7,374,**,**,0,**,**,7,1.8
Mason,27.4,64.6,591,131,22.2,128,**,**,0,**,**,**,**
Mecosta,17.6,53.4,840,233,27.7,231,**,0,0,0,0,**,**
Menominee,31.1,73.2,436,208,47.7,197,**,**,**,**,**,11,5.3
Midland,14.2,58.7,"1,679",359,21.4,354,**,**,0,**,**,**,**
Missaukee,17.4,56.2,351,105,29.9,105,0,0,0,0,0,0,0
Monroe,21.9,59,"3,208",990,30.9,976,8,**,**,6,0.6,14,1.4
Montcalm,25.0,57.7,"1,411",539,38.2,526,**,**,0,**,**,13,2.4
Montmorency,13.5,58.6,127,48,37.8,48,0,0,0,0,0,0,0
Muskegon,26.7,66.2,"4,150","1,551",37.4,"1,480",35,29,7,36,2.3,71,4.6
Newaygo,17.9,53.6,"1,097",367,33.5,361,**,**,0,**,**,6,1.6
Oakland,14.1,60.5,"27,162","8,597",31.7,"8,469",61,59,8,67,0.8,128,1.5
Oceana,23.9,57.8,604,218,36.1,215,**,**,0,**,**,**,**
Ogemaw,15.5,61.6,373,148,39.7,148,0,0,0,0,0,0,0
Ontonagon,39.2,73.2,59,35,59.3,34,0,**,0,**,**,**,**
Osceola,18.7,56.6,522,218,41.8,216,**,0,0,0,0,**,**
Oscoda,13.0,62.1,135,61,45.2,61,0,0,0,0,0,0,0
Otsego,11.2,50.3,488,165,33.8,165,0,0,0,0,0,0,0
Ottawa,14.8,45.3,"7,054","2,369",33.6,"2,321",40,8,0,8,0.3,48,2.0
Presque Isle,22.0,66.3,184,83,45.1,82,**,0,0,0,0,**,**
Roscommon,9.8,58.7,362,162,44.8,161,**,0,0,0,0,**,**
Saginaw,26.3,73.1,"4,490","2,495",55.6,"2,423",59,**,**,13,0.5,72,2.9
Saint Clair,25.6,59.4,"3,146","1,422",45.2,"1,359",54,**,**,9,0.6,63,4.4
Saint Joseph,24.2,65.1,"1,568",603,38.5,576,**,**,0,**,**,27,4.5
Sanilac,30.5,64.6,871,215,24.7,209,**,**,0,**,**,6,2.8
Schoolcraft,26.8,63.3,139,73,52.5,72,**,0,0,0,0,**,**
Shiawassee,30.4,68.2,"1,421",797,56.1,752,39,6,0,6,0.8,45,5.6
Tuscola,30.0,67.4,"1,107",583,52.7,578,**,**,0,**,**,**,**
Van Buren,22.7,58.1,"1,872",449,24.0,427,12,10,0,10,2.2,22,4.9
Washtenaw,16.8,56.5,"7,337","2,000",27.3,"1,968",11,21,0,21,1.1,32,1.6
Wayne,,,†,,,,,,,,,,
"(excluding Detroit)",,,,,,,,,,,,,
"",21.7,74.5,--,"9,868",--,"9,692",64,**,**,112,1.1,176,1.8
Wexford,21.4,53.7,814,260,31.9,257,**,**,0,**,**,**,**
City of Detroit,57.9,93.2,--†,"9,075",--,"8,258",155,588,74,662,7.3,817,9.0
MICHIGAN,23.4,64.8,"228,094","86,437",37.9,"83,441","1,558","1,277",161,"1,438",1.7,"2,996",3.5
