County,percent_pre1950_housing,percent_pre1978_housing,children_one_and_two,total_n,percent_tested,all_less5_total,all_5to9_total,capilary_greater10_total,capilary_10to19_total,capilary_20to44_total,capilary_greater45_total,all_greater5_total,all_greater10_total,all_greater5_percent,all_greater_10_percent
Alcona,12.4,61.5,136,39,28.7,38,1,0,0,0,0,1,0,2.6,0
Alger,29.5,64.1,148,65,43.9,64,1,0,0,0,0,1,0,1.5,0
Allegan,23.2,51.1,2954,758,25.7,732,23,1,2,0,0,26,2,3.4,0.3
Alpena,25.3,71.6,583,254,43.6,248,5,1,0,0,0,6,0,2.4,0
Antrim,18.8,52.6,457,175,38.3,171,3,1,0,0,0,4,0,2.3,0
Arenac,19.8,58.2,288,127,44.1,126,1,0,0,0,0,1,0,0.8,0
Baraga,34,71.7,167,96,57.5,96,0,0,0,0,0,0,0,0,0
Barry,27.1,57.3,1394,368,26.4,361,7,1,0,0,0,8,0,2.2,0
Bay,33.9,75.6,2458,1238,50.4,1174,57,0,6,1,0,64,7,5.2,0.6
Benzie,18.6,46.3,369,135,36.6,130,5,0,0,0,0,5,0,3.7,0
Berrien,28.6,72.2,3884,1323,34.1,1271,42,0,8,2,0,52,10,3.9,0.8
Branch,30.9,65.3,1156,298,25.8,277,18,2,0,1,0,21,1,7,0.3
Calhoun,36.1,75.3,3476,1184,34.1,1144,33,0,6,1,0,40,7,3.4,0.6
Cass,22.4,59.9,1185,373,31.5,358,12,2,1,0,0,15,1,4,0.3
Charlevoix,25.3,54.4,533,208,39,208,0,0,0,0,0,0,0,0,0
Cheboygan,20.9,53.5,477,205,43,203,0,2,0,0,0,2,0,1,0
Chippewa,25.1,58.6,772,244,31.6,241,3,0,0,0,0,3,0,1.2,0
Clare,14.5,58.8,710,332,46.8,331,1,0,0,0,0,1,0,0.3,0
Clinton,22.5,52.8,1696,312,18.4,307,5,0,0,0,0,5,0,1.6,0
Crawford,13.7,55.6,259,72,27.8,67,5,0,0,0,0,5,0,6.9,0
Delta,33.3,68,794,368,46.3,353,12,2,1,0,0,15,1,4.1,0.3
Dickinson,38.9,71.7,554,272,49.1,266,3,2,1,0,0,6,1,2.2,0.4
Eaton,20.4,56.4,2419,727,30.1,719,6,2,0,0,0,8,0,1.1,0
Emmet,23,48.3,661,232,35.1,230,2,0,0,0,0,2,0,0.9,0
Genesee,19.9,68,10928,4566,41.8,4450,98,9,4,5,0,116,9,2.5,0.2
Gladwin,12.4,49.5,496,172,34.7,170,2,0,0,0,0,2,0,1.2,0
Gogebic,50,76.7,295,143,48.5,140,3,0,0,0,0,3,0,2.1,0
Grand Traverse,14.7,43.5,1992,558,28,535,21,2,0,0,0,23,0,4.1,0
Gratiot,34.7,69.8,926,307,33.2,302,5,0,0,0,0,5,0,1.6,0
Hillsdale,36.5,63.2,1093,353,32.3,338,14,0,1,0,0,15,1,4.2,0.3
Houghton,53.4,75.5,846,455,53.8,433,22,0,0,0,0,22,0,4.8,0
Huron,31.8,68.9,616,222,36,208,13,0,1,0,0,14,1,6.3,0.5
Ingham,24.9,68.2,6453,2771,42.9,2639,128,1,3,0,0,132,3,4.8,0.1
Ionia,35.8,63,1635,650,39.8,640,9,1,0,0,0,10,0,1.5,0
Iosco,12.7,65.6,386,103,26.7,102,0,1,0,0,0,1,0,1,0
Iron,44.1,72.1,194,109,56.2,106,3,0,0,0,0,3,0,2.8,0
Isabella,16.3,48.2,1445,458,31.7,455,2,1,0,0,0,3,0,0.7,0
Jackson,33,67.9,3764,2104,55.9,1958,125,10,11,1,1,148,13,7,0.6
Kalamazoo,22.5,62.6,6151,2109,34.3,2021,76,8,5,0,0,89,5,4.2,0.2
Kalkaska,13.2,49.3,415,121,29.2,118,3,0,0,0,0,3,0,2.5,0
Kent,24.8,59.2,17659,8360,47.3,7925,380,12,36,6,1,435,43,5.2,0.5
Keweenaw,46.9,77.6,39,23,59,21,2,0,0,0,0,2,0,8.7,0
Lake,12.5,52.6,198,90,45.5,90,0,0,0,0,0,0,0,0,0
Lapeer,20.4,52.9,1833,735,40.1,703,31,1,0,0,0,32,0,4.4,0
Leelanau,17.9,46.5,354,114,32.2,109,5,0,0,0,0,5,0,4.4,0
Lenawee,33.6,67.2,2272,959,42.2,908,41,7,2,1,0,51,3,5.3,0.3
Livingston,11.4,39,3928,826,21,817,8,0,0,1,0,9,1,1.1,0.1
Luce,23.8,64.3,123,69,56.1,68,1,0,0,0,0,1,0,1.4,0
Mackinac,23.4,58.6,179,88,49.2,83,5,0,0,0,0,5,0,5.7,0
Macomb,9.3,59.1,19390,6319,32.6,6226,83,3,5,2,2,95,9,1.5,0.1
Manistee,28.8,63.9,428,216,50.5,202,11,1,2,0,0,14,2,6.5,0.9
Marquette,27.9,69.4,1388,432,31.1,413,16,1,2,0,0,19,2,4.4,0.5
Mason,32.1,64.6,633,116,18.3,111,6,0,0,0,0,6,0,5.2,0
Mecosta,18.2,53.4,882,269,30.5,265,4,0,0,0,0,4,0,1.5,0
Menominee,35.4,73.2,454,206,45.4,197,8,0,1,0,0,9,1,4.4,0.5
Midland,15.2,58.7,1842,291,15.8,287,4,0,0,0,0,4,0,1.4,0
Missaukee,21.2,56.2,362,102,28.2,102,0,0,0,0,0,0,0,0,0
Monroe,23,59,3462,1252,36.2,1225,26,1,0,0,0,27,0,2.2,0
Montcalm,27.3,57.7,1540,422,27.4,415,7,0,0,0,0,7,0,1.7,0
Montmorency,18.1,58.6,138,64,46.4,64,0,0,0,0,0,0,0,0,0
Muskegon,25.8,66.2,4519,1708,37.8,1613,79,5,9,2,0,95,11,5.6,0.6
Newaygo,19.3,53.6,1213,358,29.5,355,3,0,0,0,0,3,0,0.8,0
Oakland,14.7,60.5,27362,7686,28.1,7551,121,3,9,3,1,137,13,1.8,0.2
Oceana,25.8,57.8,702,252,35.9,245,6,0,1,0,0,7,1,2.8,0.4
Ogemaw,74,61.6,408,76,18.6,74,2,0,0,0,0,2,0,2.6,0
Ontonagon,39.1,73.2,90,37,41.1,37,0,0,0,0,0,0,0,0,0
Osceola,22.6,56.6,574,259,45.1,252,4,0,1,1,1,7,3,2.7,1.2
Oscoda,17.8,62.1,177,33,18.6,33,0,0,0,0,0,0,0,0,0
Otsego,12.2,50.3,543,187,34.4,187,0,0,0,0,0,0,0,0,0
Ottawa,15.7,45.3,7100,2510,35.4,2435,68,4,3,0,0,75,3,3,0.1
Presque Isle,21.1,66.3,206,86,41.7,86,0,0,0,0,0,0,0,0,0
Roscommon,13.1,58.7,384,180,46.9,176,4,0,0,0,0,4,0,2.2,0
Saginaw,28.1,73.1,4690,2784,59.4,2691,78,6,8,1,0,93,9,3.3,0.3
St Clair,25.8,59.4,3686,1223,33.2,1148,69,4,2,0,0,75,2,6.1,0.2
St Joseph,27.5,65.1,1696,645,38,617,24,4,0,0,0,28,0,4.3,0
Sanilac,30.7,64.6,997,267,26.8,256,10,0,1,0,0,11,1,4.1,0.4
Schoolcraft,25.5,63.3,152,76,50,76,0,0,0,0,0,0,0,0,0
Shiawassee,33.9,68.2,1547,758,49,725,28,1,2,2,0,33,4,4.4,0.5
Tuscola,30.2,67.4,1240,585,47.2,571,14,0,0,0,0,14,0,2.4,0
Van Buren,23.3,58.1,1959,525,26.8,513,9,0,3,0,0,12,3,2.3,0.6
Washtenaw,17.2,56.5,7616,1813,23.8,1781,29,1,1,1,0,32,2,1.8,0.1
Wayne ex Det,22.6,74.5,27275,10469,38.4,10195,230,14,25,8,0,277,33,2.6,0.3
Wexford,23,53.7,863,255,29.5,247,7,1,0,0,0,8,0,3.1,0
"Detroit, City of",62.2,93.2,20246,10520,52,9431,830,33,164,44,6,1077,214,10.2,2
MICHIGAN,24.7,64.8,237514,88851,37.4,85256,3022,151,327,83,12,3595,422,4,0.5